hidden_0	(0, 1, 2, 3, 4, 5, 6, 10, 13, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 38, 39, 40, 41, 42, 43, 44, 55, 56, 57, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 82, 86, 87, 89, 91, 99, 101)
hidden_1	(0, 1, 2, 3, 13, 21, 22, 23, 24, 26, 27, 28, 31, 32, 33, 41, 42, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 99, 101)
hidden_2	(0, 1, 6, 10, 13, 17, 27, 28, 31, 32, 33, 38, 39, 40, 43, 44, 69, 70, 71, 72, 73, 74, 75, 82, 99)
hidden_3	(0, 1, 6, 18, 31, 32, 33, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 86, 87, 89)
hidden_4	(0, 1, 10, 13, 25, 26, 31, 32, 33, 66, 67, 68, 69, 70, 71, 72, 73, 89, 99)
hidden_5	(1, 2, 3, 4, 5, 6, 13, 21, 22, 23, 24, 25, 26, 27, 28, 64, 65, 73, 74)
hidden_6	(1, 2, 3, 4, 10, 13, 17, 21, 22, 25, 26, 27, 28, 38, 39, 40, 42, 43, 55, 56, 57, 73, 74, 91)
hidden_7	(4, 10, 25, 26, 27, 28, 66, 67, 68, 87, 91)
hidden_8	(4, 13, 26, 27, 28, 38, 39, 40, 41, 73, 74, 75)
hidden_9	(4, 25, 26, 33, 38, 39, 40, 41, 42, 43, 44, 55, 56, 57, 73, 74, 75, 82)
hidden_10	(5, 6, 25, 26, 27, 28, 55, 56, 57, 64, 65, 66, 67, 68, 73, 74, 86, 87)
hidden_11	(5, 10, 13, 17, 18, 33, 41, 42, 44, 65, 66, 67, 68, 69, 70, 71, 82, 86, 87, 91)
hidden_12	(7, 8, 9, 11, 12, 14, 15, 16, 19, 20, 29, 30, 34, 35, 36, 37, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 58, 59, 60, 61, 62, 63, 76, 77, 78, 79, 80, 81, 83, 84, 85, 88, 90, 92, 93, 94, 95, 96, 97, 98, 100, 102)
hidden_13	(7, 8, 9, 11, 12, 14, 15, 16, 29, 30, 61, 62, 76, 77, 78, 79, 80, 81, 83, 84, 85)
hidden_14	(7, 8, 9, 11, 15, 16, 45, 47, 48, 49, 50, 59, 63, 76, 83, 84, 93, 94, 96, 100, 102)
hidden_15	(7, 11, 20, 29, 30, 53, 54, 63, 76, 77, 78, 80, 81, 96, 97, 102)
hidden_16	(9, 11, 29, 30, 36, 47, 48, 52, 76, 77, 78, 79, 80, 81, 93, 94, 95, 96, 97)
hidden_17	(9, 11, 30, 34, 35, 47, 48, 59, 85, 93, 94, 95, 96)
hidden_18	(9, 14, 15, 16, 20, 29, 30, 34, 35, 45, 47, 48, 49, 50, 51, 58, 60, 81, 83, 84, 85, 95, 96, 100)
hidden_19	(9, 20, 34, 35, 47, 48, 63, 76, 81, 85, 88, 90, 92, 98)
hidden_20	(10, 18, 21, 22, 23, 24, 26, 27, 28, 33, 41, 42, 64, 65, 66, 67, 68, 69, 70, 71, 74, 75, 82, 89, 91, 101)
hidden_21	(11, 12, 34, 35, 37, 48, 49, 50, 59, 76, 83, 84, 93, 94)
hidden_22	(11, 14, 15, 16, 30, 53, 54, 88)
hidden_23	(11, 19, 20, 29, 46, 47, 48, 49, 50, 51, 52, 54, 58, 59, 60, 61, 62, 76, 77, 78, 79, 80, 81, 94, 95)
hidden_24	(11, 19, 46, 47, 48, 49, 50, 53, 54, 76, 77, 78, 79, 80, 81, 83, 84, 96, 97)
hidden_25	(11, 20, 36, 37, 53, 54, 76, 77, 80, 81, 88)
hidden_26	(12, 29, 30, 76, 100)
hidden_27	(20, 47, 48, 49, 50, 51, 85, 92, 94, 95, 98)
hidden_28	(20, 59, 76, 77, 78, 85, 88, 90)
hidden_29	(21, 22, 26, 27, 28, 44, 57, 86, 101)
hidden_30	(21, 25, 26, 33, 38, 39, 40, 41, 55, 56, 57, 73, 74, 75)
hidden_31	(38, 39, 40, 41, 42, 43, 44, 73, 74, 75)
